AcctNumber,CustomerSSN,NoMonthsInactive,ActivityStatus,ActivityStatusDate,AccountEstablishedDate
ACC333618324,686-16-1458,94,Archived,1/10/2020,7/5/2010
ACC559084182,375-88-4349,29,Archived,6/21/2018,10/27/2014
ACC835094038,611-25-5320,98,Dormant,12/9/2013,7/15/2014
ACC421859477,247-16-4821,22,Restricted,1/9/2013,6/10/2014
ACC780263772,855-68-4236,39,Dormant,10/23/2020,11/25/2021
ACC247055174,568-17-3551,78,Pending Activation,10/31/2012,5/7/2019
ACC092408053,233-17-4669,4,Dormant,8/31/2014,6/5/2016
ACC325826316,525-43-4710,69,Dormant,1/16/2010,7/17/2015
ACC317139193,108-59-8488,93,Inactive,2/7/2013,12/3/2015
ACC836421025,413-81-5827,92,Dormant,8/15/2015,4/19/2012
ACC778174273,729-81-0268,54,Archived,3/11/2010,3/28/2019
ACC537249853,837-53-1517,62,Dormant,9/3/2012,10/8/2012
ACC641324071,409-48-4839,95,Dormant,8/28/2011,11/7/2010
ACC389158671,886-42-9408,24,Restricted,5/5/2012,10/17/2015
ACC908335278,111-33-2433,72,Active,11/17/2018,7/15/2016
ACC947843129,532-31-4124,96,Inactive,4/6/2019,1/13/2021
ACC720911161,234-08-0559,73,Archived,7/18/2012,4/10/2015
ACC062847665,729-08-6435,42,Closed,2/28/2018,7/31/2018
ACC655919980,730-09-8648,22,On Hold,5/10/2014,5/6/2010
ACC312492460,102-21-1414,67,In Review,11/16/2018,8/28/2017
ACC168786067,781-75-3629,11,On Hold,5/16/2018,8/14/2017
ACC149932641,202-17-8422,66,Suspended,7/26/2012,2/5/2010
ACC609344608,609-97-8630,42,Pending Activation,10/27/2015,4/10/2011
ACC752501139,843-68-8025,21,Restricted,11/3/2014,8/28/2020
ACC444796428,206-82-9014,41,Archived,12/8/2019,3/27/2019
ACC618173173,684-54-0608,82,Dormant,8/12/2020,9/15/2012
ACC899466786,716-90-8153,13,Pending Activation,12/15/2018,2/14/2021
ACC755627876,516-04-6814,94,Pending Activation,10/10/2016,3/5/2014
ACC013995258,849-76-9195,94,Dormant,5/13/2014,6/23/2017
ACC175707682,234-75-7522,13,In Review,8/21/2020,11/10/2010
ACC231938343,107-63-1394,12,On Hold,12/31/2015,10/21/2017
ACC493320818,549-45-4957,70,Active,3/24/2020,5/7/2018
ACC476633335,343-73-0877,64,Active,1/19/2016,5/8/2015
ACC015967971,148-52-8456,53,On Hold,3/5/2010,10/19/2017
ACC900607539,532-71-6847,96,Restricted,3/8/2019,2/19/2018
ACC658089233,719-79-7096,47,Suspended,1/16/2018,9/3/2018
ACC203627446,726-04-0836,98,Inactive,8/29/2019,8/16/2016
ACC982652764,814-90-5059,51,Pending Activation,3/21/2020,9/27/2019
ACC794513697,182-79-4944,92,In Review,9/20/2020,8/16/2017
ACC311021689,699-90-2611,58,Archived,7/19/2010,10/7/2019
ACC917647471,685-06-1770,21,On Hold,9/9/2018,10/31/2015
ACC441438746,568-30-1434,81,On Hold,1/8/2011,1/6/2016
ACC621863907,436-44-7581,44,Restricted,6/11/2012,1/23/2020
ACC075531037,253-85-8722,25,Archived,12/21/2018,7/5/2010
ACC648543918,508-50-1790,90,Inactive,12/24/2014,3/8/2011
ACC747481006,748-18-5529,46,Inactive,1/27/2021,1/13/2021
ACC532284882,817-61-1069,38,On Hold,1/20/2021,7/11/2017
ACC138181086,824-10-6501,49,In Review,5/26/2015,6/8/2017
ACC241644075,384-12-1031,95,Closed,8/14/2015,7/20/2021
ACC369861366,611-81-3453,3,Inactive,6/15/2016,3/16/2021
ACC204802597,347-63-3246,79,Suspended,11/8/2011,9/11/2020
ACC975646664,173-33-5474,64,Archived,10/29/2015,4/19/2010
ACC003433573,116-08-6992,50,Restricted,10/21/2019,5/15/2015
ACC036180902,747-57-0629,15,Suspended,11/24/2020,11/3/2011
ACC314840457,879-28-4768,26,Pending Activation,1/8/2015,7/4/2014
ACC210832020,343-28-9953,44,Dormant,12/9/2019,1/29/2013
