BAcctNumber,AcctNumber,BillingStreet,BillingAptNo,BillingZip,BillingPhone,BillingMethod,OnlineBillingFlag,CoverageType,LastInvoiceGenDate,LastInvoicePaidDueDate,LastInvoicePaidDate,LastBillCount,NextInvoiceGenDate,CardType,CardNo,CardExpirationDate,BankingAccountType,BankingAccountNumber,PaymentAmount,PaymentDate,AccountEstablishedDate
BILL835425284,ACC618971735,75144 Bay Alley,19,35295,985-971-7657,Self-Pay,F,Travel Health Insurance,7/20/2011,7/7/2023,10/3/2021,5,12/1/2013,maestro,67616288097864835,10/4/2024,Loan Account,agcgtqt,823.8,1/22/2014,6/21/2019
BILL955490887,ACC837202886,5683 Columbus Road,21,89125,372-452-9088,Time-Based Billing,F,Point of Service (POS),3/19/2015,7/21/2016,3/10/2016,19,5/11/2022,visa,4041596770222,3/5/2025,Certificate of Deposit (CD),zlmcqzz,381.53,4/12/2020,11/28/2021
BILL210268881,ACC553847219,503 Arapahoe Trail,17,87180,305-485-6252,Third-Party Billing,F,Catastrophic Health Insurance,10/1/2017,11/26/2017,2/9/2021,49,4/7/2021,jcb,3535426564419153,1/25/2025,Loan Account,tmwyixo,604.31,7/23/2020,12/3/2011
BILL896977024,ACC398278389,3736 Sullivan Terrace,25,32969,639-946-1610,Self-Pay,T,Children's Health Insurance Program (CHIP),9/21/2018,4/4/2020,10/22/2018,2,5/13/2019,jcb,3535869079224404,10/6/2025,Credit Account,rmuzkxw,42.17,12/8/2014,1/15/2014
BILL894822559,ACC291486086,95234 Twin Pines Lane,1,79940,295-678-2384,Bundled Payments,F,Indemnity Plan,1/14/2010,6/8/2024,6/12/2012,14,10/10/2014,americanexpress,374283444948897,4/2/2029,Savings Account,uugvxms,307.73,4/25/2014,12/15/2013
BILL103358761,ACC388278688,71 Namekagon Park,28,28410,657-190-5368,Per Diem,F,Exclusive Provider Organization (EPO),1/29/2013,6/24/2014,8/2/2021,12,9/29/2021,jcb,3583675305639237,10/3/2028,Certificate of Deposit (CD),oxdvlzf,212.05,2/25/2012,7/19/2011
BILL317763279,ACC930802133,9 Memorial Hill,33,89150,114-578-3480,Third-Party Billing,T,Flexible Spending Account (FSA)-eligible plan,9/24/2016,1/3/2022,9/3/2021,36,4/27/2017,mastercard,5100170610174012,8/18/2026,Certificate of Deposit (CD),ydbgayh,945.74,12/5/2019,7/12/2021
BILL692847932,ACC706186520,89352 Ronald Regan Crossing,33,20508,149-913-4111,Co-Payment,T,Health Savings Account (HSA)-eligible plan,7/22/2014,11/9/2015,2/5/2018,10,3/28/2015,maestro,6304993029921871263,12/7/2027,Checking Account,ejqcryb,636.89,3/2/2010,3/3/2020
BILL380286129,ACC580667568,163 Manley Point,41,35205,333-336-0668,Value-Based Reimbursement,T,Critical Illness Insurance,9/3/2014,9/28/2020,5/13/2023,50,1/21/2023,jcb,3540881620011282,10/11/2028,Investment Account,hvwbtkt,873.48,11/29/2011,12/12/2020
BILL745738032,ACC791728739,85151 Pine View Place,14,91797,315-203-2022,Bundled Payments,T,Indemnity Plan,12/12/2021,2/12/2023,5/2/2023,13,10/16/2022,jcb,3571017627837906,7/1/2027,Retirement Account,qrattge,496.51,3/23/2016,4/10/2015
