ClaimNumber,DateOfService,DateOfClaim,SettlementDate,ClaimDescription,ClaimAmount,ClaimStatus,ParticipantSSN,ContractNumber
CLM-5417-098546,7/20/2021,3/14/2023,9/2/2021,Addison's disease hormone replacement,40956123.55,In Review,610-49-9293,CNT-CDP-3373-296
CLM-3256-444657,2/15/2015,3/17/2024,7/24/2023,Prostate cancer PSA level check,84291573.03,Partially Approved,579-86-1002,CNT-CDP-8306-266
CLM-3813-201074,11/30/2020,12/11/2020,4/2/2022,Celiac disease nutritional consultation,36404378.42,Reopened,279-52-6858,CNT-CDP-7741-528
CLM-9267-865684,3/11/2019,3/24/2022,7/13/2020,Obesity management and counseling,21216643.18,Closed,209-75-8837,CNT-CDP-5503-575
CLM-8355-044916,2/26/2020,9/13/2022,4/30/2023,Anxiety disorder cognitive behavioral therapy,73243164.25,Pending Additional Information,447-15-6198,CNT-CDP-7801-112
CLM-6377-480353,11/5/2020,6/5/2023,6/2/2021,Chronic bronchitis pulmonary function test,71594650.73,In Review,876-75-7883,CNT-CDP-9947-797
CLM-0544-115476,1/17/2018,7/1/2018,6/6/2024,Hemophilia factor replacement therapy,37617734.71,Denied,593-86-0796,CNT-CDP-4430-615
CLM-8960-435195,4/15/2016,1/15/2023,3/25/2017,Osteoporosis bone density scan,28145266.91,In Review,818-37-9242,CNT-CDP-2095-986
CLM-0997-359695,6/16/2012,7/28/2015,3/3/2021,IBS symptom management consultation,77839470.98,Denied,508-64-6235,CNT-CDP-5466-865
CLM-2328-242750,2/7/2011,8/29/2016,11/1/2020,Peripheral artery disease circulation check,24225141.98,Submitted,885-91-0167,CNT-CDP-2244-709
CLM-9540-768373,8/7/2017,9/17/2018,10/11/2017,Bipolar disorder medication adjustment,68525061.17,Approved,461-20-3719,CNT-CDP-1381-269
CLM-5910-604042,8/27/2016,2/19/2018,9/15/2017,IBS symptom management consultation,72755119.33,Closed,595-85-3976,CNT-CDP-0620-685
CLM-5105-867117,10/23/2021,10/25/2022,7/25/2023,Hypertension medication adjustment,94484313.47,Denied,886-99-7136,CNT-CDP-8097-521
CLM-6613-459798,8/17/2010,4/10/2016,12/26/2017,Polycystic kidney disease ultrasound,76338977.13,In Review,205-11-1734,CNT-CDP-8017-864
CLM-1430-015081,6/5/2017,5/28/2018,4/10/2018,Osteoarthritis joint injection,8368924.59,In Review,706-37-4457,CNT-CDP-3629-412
CLM-7470-843345,2/16/2013,9/15/2016,1/31/2015,COPD exacerbation treatment,48466292.71,Partially Approved,596-39-3529,CNT-CDP-1167-031
CLM-4013-448469,5/18/2013,5/31/2017,4/8/2021,Endometriosis pain management,72503787.37,Denied,167-89-5333,CNT-CDP-4150-445
CLM-1020-574065,8/30/2018,3/13/2021,4/28/2022,Epilepsy medication level monitoring,40059527.59,Closed,827-71-7148,CNT-CDP-1484-935
CLM-8800-954449,11/23/2021,5/29/2022,4/16/2024,Hepatitis C antiviral therapy follow-up,9691278.49,Approved,866-96-6525,CNT-CDP-9510-554
CLM-7544-077157,8/25/2013,4/13/2018,9/7/2021,Glaucoma intraocular pressure check,58595196.66,Submitted,129-87-4848,CNT-CDP-5158-591
CLM-8043-859925,3/7/2018,1/31/2022,3/31/2019,Hypertension medication adjustment,19742824.98,Partially Approved,851-70-6411,CNT-CDP-9804-486
CLM-0021-521764,4/24/2013,11/11/2015,2/26/2018,Epilepsy medication level monitoring,62153412.22,Reopened,405-63-3247,CNT-CDP-2190-830
CLM-0233-386220,9/16/2013,6/26/2020,12/28/2020,Hepatitis C antiviral therapy follow-up,51909692.31,Reopened,131-06-6417,CNT-CDP-9269-169
CLM-0927-376443,11/28/2010,2/10/2019,4/10/2019,Leukemia blood count monitoring,76435123.07,Approved,190-93-7573,CNT-CDP-7338-180
CLM-8333-812157,4/6/2019,7/5/2019,7/14/2022,Cystic fibrosis respiratory therapy,80942171.46,Denied,793-95-0811,CNT-CDP-5655-658
CLM-4407-700525,12/22/2021,5/21/2022,2/25/2024,Hemophilia factor replacement therapy,12090427.21,Pending Additional Information,635-40-9726,CNT-CDP-2425-737
CLM-7469-430895,10/2/2010,4/8/2011,9/30/2020,Chronic depression therapy session,58254492.35,Approved,202-83-2746,CNT-CDP-4465-001
CLM-2177-002956,4/8/2010,9/13/2020,2/18/2014,COPD exacerbation treatment,2583185.68,In Review,247-82-5713,CNT-CDP-0574-136
CLM-4667-639982,12/18/2020,5/16/2023,11/28/2023,Anxiety disorder cognitive behavioral therapy,18816439.51,In Appeal,523-84-7464,CNT-CDP-6040-860
CLM-2732-064111,3/4/2021,6/15/2023,4/18/2024,Diabetic retinopathy eye exam,21934720.37,Closed,388-98-7244,CNT-CDP-2639-333
CLM-6640-931906,11/24/2017,2/9/2023,1/6/2023,Chronic depression therapy session,5319905.09,In Appeal,240-61-2730,CNT-CDP-6383-302
CLM-3671-635769,7/4/2019,12/22/2019,10/14/2022,Ulcerative colitis colonoscopy,26395159.73,Submitted,509-94-1975,CNT-CDP-2133-221
CLM-2775-927380,3/5/2016,7/13/2017,5/11/2021,Peripheral artery disease circulation check,26106979.51,Paid,572-04-0412,CNT-CDP-5684-031
CLM-3093-211706,3/5/2020,2/19/2021,4/22/2020,Osteoporosis bone density scan,57042714.71,Pending Additional Information,448-24-5957,CNT-CDP-1054-629
CLM-1586-777084,4/17/2013,7/5/2020,7/16/2019,Atrial fibrillation anticoagulation check,19633921.41,Closed,391-79-2620,CNT-CDP-6926-210
CLM-1534-631313,11/10/2015,7/9/2018,12/4/2019,Colorectal cancer follow-up colonoscopy,67981130.37,Approved,607-60-3163,CNT-CDP-2211-774
CLM-2266-016126,3/17/2017,5/14/2017,11/27/2021,Diabetic retinopathy eye exam,79136021.17,Submitted,291-30-8533,CNT-CDP-8916-844
CLM-2225-287711,6/11/2017,2/28/2019,10/14/2022,Hepatitis C antiviral therapy follow-up,78027147.8,In Review,293-49-1916,CNT-CDP-4970-456
CLM-8289-736661,2/25/2016,6/2/2020,4/14/2019,Epilepsy medication level monitoring,62132012.82,Closed,828-45-2966,CNT-CDP-7837-415
CLM-0840-248363,6/2/2021,7/22/2021,6/7/2022,Chronic migraine Botox treatment,22508078.38,Partially Approved,410-10-8392,CNT-CDP-4870-659
CLM-8538-573578,3/23/2019,5/12/2019,3/23/2021,Colorectal cancer follow-up colonoscopy,80960381.91,Paid,717-10-8553,CNT-CDP-2919-841
CLM-1082-654237,5/22/2018,6/16/2019,1/9/2023,Diabetic retinopathy eye exam,78581195.01,Approved,798-78-5754,CNT-CDP-0133-799
CLM-7820-674216,5/8/2021,7/25/2021,3/10/2024,Sjogren's syndrome dry eye treatment,92760152.07,Reopened,519-23-8169,CNT-CDP-9721-612
CLM-6227-560877,12/27/2015,5/29/2021,12/13/2021,Hemophilia factor replacement therapy,74516975.56,Pending Additional Information,449-79-5694,CNT-CDP-5381-536
CLM-1263-060082,7/13/2018,10/17/2023,9/21/2019,Chronic bronchitis pulmonary function test,2093708.01,Submitted,467-04-9857,CNT-CDP-4233-970
CLM-3086-944875,2/14/2018,7/8/2021,5/22/2021,Chronic kidney disease dialysis session,7475971.85,In Appeal,530-40-1302,CNT-CDP-0826-776
CLM-0126-095046,9/27/2019,4/22/2020,9/29/2022,Asthma inhaler refill and lung function test,87024239.62,Partially Approved,539-88-9601,CNT-CDP-5655-546
CLM-1896-533672,6/8/2017,10/9/2017,10/31/2023,Epilepsy medication level monitoring,61377996.9,Pending Additional Information,720-11-4922,CNT-CDP-2640-709
CLM-6928-167643,11/22/2019,8/26/2021,3/12/2020,Atrial fibrillation anticoagulation check,87439710.08,Closed,419-12-2265,CNT-CDP-5960-330
CLM-7156-649351,5/21/2016,11/22/2020,8/20/2020,Bipolar disorder medication adjustment,63589081.71,Submitted,819-26-2793,CNT-CDP-6907-674
CLM-3645-474874,7/2/2012,5/9/2013,10/2/2018,Ulcerative colitis colonoscopy,37330932.43,Pending Additional Information,189-41-0878,CNT-CDP-3830-130
CLM-6057-241992,11/19/2020,5/2/2024,8/14/2023,Hemophilia factor replacement therapy,71763573.02,Approved,876-60-7706,CNT-CDP-4893-951
CLM-4560-190187,8/5/2010,7/14/2017,5/18/2013,Cirrhosis liver function tests,68614493.53,In Appeal,236-27-2728,CNT-CDP-0192-106
CLM-6989-322755,8/16/2011,6/29/2013,4/9/2013,Endometriosis pain management,39607408.21,Submitted,670-62-6244,CNT-CDP-0435-057
CLM-1920-490654,10/19/2021,10/15/2022,10/24/2021,HIV viral load testing,15622919.06,Closed,643-24-4270,CNT-CDP-3564-522
