ContractNumber,ContractType,GroupNumber,EffectiveDate,ExpirationDate,RenewalDate,PolicyID,CustomerSSN
CNT-CDP-3373-296,Individual,GRP-540480,7/27/2020,7/27/2021,6/3/2022,CDP-CDCP-171336,379-80-0956
CNT-CDP-8306-266,Group,GRP-256679,3/25/2020,3/25/2021,12/9/2021,CDP-CHS-501036,794-64-4580
CNT-CDP-7741-528,Individual,GRP-939021,11/2/2020,11/2/2021,,CDP-RWP-867534,601-93-8041
CNT-CDP-5503-575,Group,GRP-308382,10/15/2020,10/15/2021,,CDP-NC-355709,552-78-2235
CNT-CDP-7801-112,Group,GRP-497059,7/1/2020,7/1/2021,,CDP-ADS-864979,126-24-4950
CNT-CDP-9947-797,Family,GRP-941748,11/28/2020,11/28/2021,11/5/2022,CDP-RCA-783875,240-62-7475
CNT-CDP-4430-615,Group,GRP-195687,6/23/2020,6/23/2021,11/19/2021,CDP-BJHP-038233,320-47-9640
CNT-CDP-2095-986,Family,GRP-252569,4/23/2020,4/23/2021,,CDP-CCC-228385,612-65-7466
CNT-CDP-5466-865,Family,GRP-223405,7/27/2020,7/27/2021,7/23/2022,CDP-CDCP-171336,603-33-7368
CNT-CDP-2244-709,Group,GRP-173844,4/21/2020,4/21/2021,,CDP-CHS-501036,882-29-5174
CNT-CDP-1381-269,Group,GRP-725611,12/16/2020,12/16/2021,1/18/2022,CDP-RWP-867534,116-08-6992
CNT-CDP-0620-685,Group,GRP-696468,2/29/2020,2/28/2021,,CDP-NC-355709,855-49-6195
CNT-CDP-8097-521,Family,GRP-600643,2/28/2020,2/27/2021,4/11/2021,CDP-ADS-864979,571-27-8259
CNT-CDP-8017-864,Family,GRP-736256,5/23/2020,5/23/2021,10/6/2021,CDP-RCA-783875,863-73-9525
CNT-CDP-3629-412,Group,GRP-929227,2/22/2020,2/21/2021,2/4/2022,CDP-BJHP-038233,638-84-9548
CNT-CDP-1167-031,Individual,GRP-906839,10/24/2020,10/24/2021,,CDP-CCC-228385,492-69-2793
CNT-CDP-4150-445,Individual,GRP-887092,9/13/2020,9/13/2021,,CDP-CDCP-171336,842-64-0009
CNT-CDP-1484-935,Individual,GRP-848847,6/8/2020,6/8/2021,9/22/2021,CDP-CHS-501036,832-63-4875
CNT-CDP-9510-554,Individual,GRP-670870,4/30/2020,4/30/2021,11/6/2021,CDP-RWP-867534,598-76-7465
CNT-CDP-5158-591,Group,GRP-176013,3/14/2020,3/14/2021,12/27/2021,CDP-NC-355709,658-45-2934
CNT-CDP-9804-486,Group,GRP-329455,4/23/2020,4/23/2021,9/1/2021,CDP-ADS-864979,532-85-3774
CNT-CDP-2190-830,Individual,GRP-046171,4/29/2020,4/29/2021,7/24/2021,CDP-RCA-783875,710-25-6604
CNT-CDP-9269-169,Family,GRP-764348,4/24/2020,4/24/2021,6/7/2021,CDP-BJHP-038233,384-12-1031
CNT-CDP-7338-180,Family,GRP-610183,6/19/2020,6/19/2021,3/21/2022,CDP-CCC-228385,397-81-5979
CNT-CDP-5655-658,Individual,GRP-509481,11/30/2020,11/30/2021,10/20/2022,CDP-CDCP-171336,514-41-1595
CNT-CDP-2425-737,Family,GRP-255725,6/22/2020,6/22/2021,1/6/2022,CDP-CHS-501036,176-29-9474
CNT-CDP-4465-001,Family,GRP-749386,6/22/2020,6/22/2021,,CDP-RWP-867534,316-66-0906
CNT-CDP-0574-136,Individual,GRP-572725,5/24/2020,5/24/2021,5/6/2022,CDP-NC-355709,593-06-9806
CNT-CDP-6040-860,Individual,GRP-904477,5/8/2020,5/8/2021,,CDP-ADS-864979,877-42-0692
CNT-CDP-2639-333,Group,GRP-568513,6/7/2020,6/7/2021,,CDP-RCA-783875,602-23-5126
CNT-CDP-6383-302,Group,GRP-724862,7/13/2020,7/13/2021,,CDP-BJHP-038233,334-55-7345
CNT-CDP-2133-221,Family,GRP-828745,6/4/2020,6/4/2021,9/2/2021,CDP-CCC-228385,572-52-6215
CNT-CDP-5684-031,Family,GRP-788363,7/10/2020,7/10/2021,11/2/2021,CDP-CDCP-171336,203-33-6926
CNT-CDP-1054-629,Group,GRP-477472,9/5/2020,9/5/2021,5/16/2022,CDP-CHS-501036,653-48-2778
CNT-CDP-6926-210,Family,GRP-136359,8/24/2020,8/24/2021,,CDP-RWP-867534,410-38-8800
CNT-CDP-2211-774,Individual,GRP-986490,7/26/2020,7/26/2021,12/20/2021,CDP-NC-355709,360-60-1633
CNT-CDP-8916-844,Group,GRP-645079,7/1/2020,7/1/2021,8/26/2021,CDP-ADS-864979,176-91-5939
CNT-CDP-4970-456,Family,GRP-016138,1/1/2020,12/31/2020,3/20/2021,CDP-RCA-783875,281-62-2599
CNT-CDP-7837-415,Group,GRP-347205,5/29/2020,5/29/2021,4/2/2022,CDP-BJHP-038233,276-34-3095
CNT-CDP-4870-659,Group,GRP-660597,6/13/2020,6/13/2021,1/20/2022,CDP-CCC-228385,559-35-0106
CNT-CDP-2919-841,Individual,GRP-714958,3/20/2020,3/20/2021,3/10/2022,CDP-CDCP-171336,803-46-9263
CNT-CDP-0133-799,Family,GRP-465348,10/3/2020,10/3/2021,10/22/2021,CDP-CHS-501036,367-96-5225
CNT-CDP-9721-612,Individual,GRP-955684,11/22/2020,11/22/2021,8/31/2022,CDP-RWP-867534,297-67-6147
CNT-CDP-5381-536,Family,GRP-714447,5/18/2020,5/18/2021,,CDP-NC-355709,785-80-4695
CNT-CDP-4233-970,Family,GRP-583565,3/17/2020,3/17/2021,,CDP-ADS-864979,839-73-6465
CNT-CDP-0826-776,Family,GRP-746544,5/16/2020,5/16/2021,,CDP-RCA-783875,584-74-5070
CNT-CDP-5655-546,Family,GRP-261306,7/5/2020,7/5/2021,,CDP-BJHP-038233,234-43-4033
CNT-CDP-2640-709,Individual,GRP-427685,3/15/2020,3/15/2021,8/5/2021,CDP-CCC-228385,743-99-0167
CNT-CDP-5960-330,Individual,GRP-982769,12/11/2020,12/11/2021,,CDP-CDCP-171336,595-98-7635
CNT-CDP-6907-674,Family,GRP-333019,8/15/2020,8/15/2021,,CDP-CHS-501036,339-35-4231
CNT-CDP-3830-130,Family,GRP-463239,2/29/2020,2/28/2021,,CDP-RWP-867534,648-58-2228
CNT-CDP-4893-951,Individual,GRP-497876,8/31/2020,8/31/2021,10/23/2021,CDP-NC-355709,202-17-8422
CNT-CDP-0192-106,Family,GRP-218055,1/26/2020,1/25/2021,,CDP-ADS-864979,386-35-2129
CNT-CDP-0435-057,Individual,GRP-764629,10/19/2020,10/19/2021,6/14/2022,CDP-RCA-783875,275-13-7101
CNT-CDP-3564-522,Group,GRP-731142,5/28/2020,5/28/2021,9/11/2021,CDP-BJHP-038233,395-89-0632
CNT-CDP-4726-769,Group,GRP-724674,10/19/2020,10/19/2021,6/7/2022,CDP-CCC-228385,309-64-6753
CNT-CDP-0498-818,Individual,GRP-047383,6/8/2020,6/8/2021,5/12/2022,CDP-CDCP-171336,288-69-8239
CNT-CDP-7896-678,Group,GRP-421560,3/7/2020,3/7/2021,,CDP-CHS-501036,349-62-6503
CNT-CDP-7552-534,Individual,GRP-569825,9/15/2020,9/15/2021,7/26/2022,CDP-RWP-867534,706-92-3972
CNT-CDP-4697-713,Group,GRP-350791,11/3/2020,11/3/2021,5/28/2022,CDP-NC-355709,821-33-0882
CNT-CDP-8624-324,Group,GRP-271910,4/25/2020,4/25/2021,,CDP-ADS-864979,640-73-8121
CNT-CDP-4908-175,Individual,GRP-129881,10/5/2020,10/5/2021,10/27/2021,CDP-RCA-783875,555-77-7098
CNT-CDP-9250-207,Individual,GRP-604483,10/5/2020,10/5/2021,2/25/2022,CDP-BJHP-038233,105-43-4308
CNT-CDP-6376-598,Group,GRP-914909,3/20/2020,3/20/2021,4/13/2021,CDP-CCC-228385,206-82-9014
CNT-CDP-8598-484,Individual,GRP-861983,6/2/2020,6/2/2021,,CDP-CDCP-171336,826-78-8664
