PremiumCode,ContractNumber,CustomerSSN,PremiumAmount,PremiumFrequency,PaymentMethod,Status
PREM1540,CNT-CDP-2327-965,556-44-4543,6999,Monthly,In-Person Payments,Overdue
PREM6891,CNT-CDP-5443-289,887-07-8129,5205,Annually,Electronic Funds Transfer (EFT),Suspended
PREM5692,CNT-CDP-0138-654,572-52-6215,6526,Querterly,Check,Active
PREM1617,CNT-CDP-2225-044,296-57-4020,3821,Semi-Annually,Electronic Funds Transfer (EFT),Pending
PREM1536,CNT-CDP-9461-087,410-82-3708,7709,Querterly,Electronic Funds Transfer (EFT),Pending
PREM0105,CNT-CDP-7299-158,281-62-2599,6109,Annually,Online Payment Portals,Lapsed
PREM1547,CNT-CDP-1871-181,111-48-5399,5823,Querterly,Direct Debit/Automatic Withdrawal,Active
PREM9958,CNT-CDP-8322-326,386-35-2129,4678,Monthly,Phone Payments,Suspended
PREM8198,CNT-CDP-4366-796,582-84-5518,1358,Semi-Annually,In-Person Payments,Overdue
PREM4197,CNT-CDP-0364-861,745-84-4576,9222,Semi-Annually,Phone Payments,Active
PREM0132,CNT-CDP-4771-397,728-88-9032,4876,Annually,Electronic Funds Transfer (EFT),Renewed
PREM9126,CNT-CDP-9510-554,598-76-7465,217,Querterly,Direct Debit/Automatic Withdrawal,Pending
PREM2289,CNT-CDP-9629-903,706-92-3972,6311,Querterly,Mobile Payment Apps,Renewed
PREM7613,CNT-CDP-9208-549,309-54-2863,1369,Semi-Annually,In-Person Payments,Pending
PREM4920,CNT-CDP-7818-755,160-40-0524,7976,Annually,In-Person Payments,Overdue
PREM7034,CNT-CDP-0506-660,541-57-2145,2915,Annually,Online Payment Portals,Lapsed
PREM6476,CNT-CDP-3226-308,422-22-6500,2964,Semi-Annually,Direct Debit/Automatic Withdrawal,Overdue
PREM3352,CNT-CDP-3538-331,728-88-9032,7717,Semi-Annually,In-Person Payments,Active
PREM8339,CNT-CDP-2133-221,572-52-6215,3643,Annually,Mobile Payment Apps,Lapsed
PREM8103,CNT-CDP-3241-357,489-98-8589,2456,Monthly,Credit or Debit Card,Active
PREM6031,CNT-CDP-8795-526,472-83-8236,7287,Annually,In-Person Payments,Cancelled
PREM8319,CNT-CDP-5655-658,514-41-1595,4349,Semi-Annually,Electronic Funds Transfer (EFT),Active
PREM1120,CNT-CDP-7401-540,545-54-0867,5056,Semi-Annually,Credit or Debit Card,Renewed
PREM2077,CNT-CDP-8141-632,648-53-3431,958,Querterly,Electronic Funds Transfer (EFT),Overdue
PREM3755,CNT-CDP-5664-951,417-63-0056,2642,Monthly,Direct Debit/Automatic Withdrawal,Renewed
PREM4631,CNT-CDP-4879-954,478-48-7443,289,Semi-Annually,Online Payment Portals,Expired
PREM9746,CNT-CDP-2038-439,128-62-7754,7029,Semi-Annually,Credit or Debit Card,Renewed
PREM4119,CNT-CDP-3283-313,361-44-1301,4617,Annually,In-Person Payments,Overdue
PREM4104,CNT-CDP-5379-381,339-05-1707,2618,Monthly,Mobile Payment Apps,Pending
PREM1731,CNT-CDP-1726-079,763-27-4967,6856,Querterly,Electronic Funds Transfer (EFT),Suspended
PREM9019,CNT-CDP-8651-605,516-04-6814,2464,Querterly,Credit or Debit Card,Cancelled
PREM0026,CNT-CDP-7588-295,352-32-0242,8597,Annually,Mobile Payment Apps,Suspended
PREM2458,CNT-CDP-7526-443,550-33-5183,5522,Querterly,In-Person Payments,Renewed
PREM8739,CNT-CDP-8294-341,391-99-3823,4541,Monthly,In-Person Payments,Renewed
PREM1214,CNT-CDP-0069-374,253-85-8722,1990,Annually,Mobile Payment Apps,Expired
PREM3623,CNT-CDP-5956-156,260-91-8767,2215,Querterly,Phone Payments,Active
PREM4940,CNT-CDP-9941-051,569-03-0198,9419,Annually,Mobile Payment Apps,Suspended
PREM5160,CNT-CDP-8882-532,675-38-5467,2786,Querterly,Credit or Debit Card,Suspended
PREM2650,CNT-CDP-2249-118,391-99-3823,2112,Querterly,Electronic Funds Transfer (EFT),Expired
PREM6907,CNT-CDP-7212-177,348-43-7882,3848,Annually,Online Payment Portals,Expired
PREM3253,CNT-CDP-4226-906,660-89-2485,686,Semi-Annually,Mobile Payment Apps,Active
PREM7177,CNT-CDP-5391-438,688-16-5212,5531,Querterly,Check,Active
PREM4648,CNT-CDP-0288-826,803-89-9048,2487,Querterly,Online Payment Portals,Active
PREM1191,CNT-CDP-3503-303,589-94-4692,6098,Semi-Annually,Credit or Debit Card,Expired
PREM4389,CNT-CDP-5357-954,618-65-3141,1889,Semi-Annually,Direct Debit/Automatic Withdrawal,Cancelled
PREM1728,CNT-CDP-0934-058,168-79-9741,9540,Semi-Annually,Mobile Payment Apps,Pending
PREM9043,CNT-CDP-4963-721,516-23-5305,3394,Querterly,Electronic Funds Transfer (EFT),Lapsed
PREM5501,CNT-CDP-1484-935,832-63-4875,3657,Annually,Online Payment Portals,Pending
PREM5997,CNT-CDP-8780-105,121-50-0345,9873,Annually,Credit or Debit Card,Active
PREM5668,CNT-CDP-6185-150,235-15-1117,7336,Semi-Annually,In-Person Payments,Cancelled
PREM5442,CNT-CDP-1981-863,471-25-7860,6483,Annually,Check,Renewed
PREM0238,CNT-CDP-3494-580,694-45-4388,294,Semi-Annually,Mobile Payment Apps,Lapsed
PREM3315,CNT-CDP-4355-213,472-69-9538,5762,Monthly,In-Person Payments,Lapsed
PREM8559,CNT-CDP-7938-639,307-44-4074,9620,Annually,Electronic Funds Transfer (EFT),Suspended
PREM8438,CNT-CDP-4697-713,821-33-0882,4341,Annually,Mobile Payment Apps,Lapsed
PREM4697,CNT-CDP-1975-973,569-98-8973,3427,Annually,Direct Debit/Automatic Withdrawal,Expired
