InvoiceNumber,InvoiceDate,NoOutstandingInvoices,DueDate,PaidDate,InvoiceStatus,BillingPeriod,BAcctNumber,CustomerSSN,ContractNumber
INVC-26169,7/23/2019,2,11/11/2022,5/31/2020,Paid,Monthly,BILL835425284,686-16-1458,CNT-CDP-3373-296
INVC-13107,7/10/2021,3,12/6/2022,11/1/2021,Paid,Bi-Weekly,BILL955490887,375-88-4349,CNT-CDP-8306-266
INVC-05424,5/6/2019,3,9/6/2022,,Unpaid,Quarterly,BILL210268881,611-25-5320,CNT-CDP-7741-528
INVC-81335,9/19/2019,2,9/19/2022,,Unpaid,Quarterly,BILL896977024,247-16-4821,CNT-CDP-5503-575
INVC-10902,3/9/2021,5,12/30/2022,,Unpaid,Daily,BILL894822559,855-68-4236,CNT-CDP-7801-112
INVC-87220,9/7/2019,4,7/30/2022,,Unpaid,Daily,BILL103358761,568-17-3551,CNT-CDP-9947-797
INVC-87838,5/4/2021,1,8/31/2022,,Unpaid,Bi-Weekly,BILL317763279,233-17-4669,CNT-CDP-4430-615
INVC-29751,1/19/2019,4,3/8/2022,,Unpaid,Daily,BILL692847932,525-43-4710,CNT-CDP-2095-986
INVC-22280,1/3/2021,5,3/7/2022,4/24/2021,Paid,Quarterly,BILL380286129,108-59-8488,CNT-CDP-5466-865
INVC-73769,9/29/2021,3,11/24/2022,,Unpaid,Weekly,BILL745738032,413-81-5827,CNT-CDP-2244-709
INVC-28664,3/2/2020,3,8/23/2022,5/9/2020,Paid,Quarterly,BILL293397078,729-81-0268,CNT-CDP-1381-269
INVC-94792,9/3/2019,2,12/6/2022,7/30/2020,Paid,Daily,BILL833847824,837-53-1517,CNT-CDP-0620-685
INVC-05896,9/20/2021,3,9/20/2022,11/5/2021,Paid,Bi-Weekly,BILL918870633,409-48-4839,CNT-CDP-8097-521
INVC-79596,11/24/2020,2,3/19/2022,,Unpaid,Weekly,BILL235075600,886-42-9408,CNT-CDP-8017-864
INVC-01946,10/10/2021,3,8/30/2022,,Unpaid,Bi-Weekly,BILL396812199,111-33-2433,CNT-CDP-3629-412
INVC-77299,2/28/2020,5,8/4/2022,5/9/2020,Paid,Annually,BILL477787661,532-31-4124,CNT-CDP-1167-031
INVC-00143,1/9/2020,3,12/3/2022,5/22/2020,Paid,Weekly,BILL332398096,234-08-0559,CNT-CDP-4150-445
INVC-87265,11/30/2021,1,8/8/2022,12/10/2021,Paid,Annually,BILL317029545,729-08-6435,CNT-CDP-1484-935
INVC-44981,1/28/2021,4,7/17/2022,5/15/2021,Paid,Quarterly,BILL109246982,730-09-8648,CNT-CDP-9510-554
INVC-46064,3/27/2019,4,2/12/2022,5/29/2020,Paid,Daily,BILL353493551,102-21-1414,CNT-CDP-5158-591
INVC-68201,3/9/2021,1,3/22/2022,,Unpaid,Quarterly,BILL073317082,781-75-3629,CNT-CDP-9804-486
INVC-84890,3/6/2020,2,1/27/2022,12/5/2021,Paid,Monthly,BILL063763397,202-17-8422,CNT-CDP-2190-830
INVC-17894,8/14/2021,5,9/16/2022,9/17/2021,Paid,Daily,BILL905287104,609-97-8630,CNT-CDP-9269-169
INVC-88326,6/16/2019,2,2/13/2022,11/8/2020,Paid,Monthly,BILL826113314,843-68-8025,CNT-CDP-7338-180
INVC-70956,6/21/2021,4,10/12/2022,10/1/2021,Paid,Daily,BILL077323528,206-82-9014,CNT-CDP-5655-658
INVC-90771,7/28/2019,4,5/25/2022,,Unpaid,Bi-Weekly,BILL131254618,684-54-0608,CNT-CDP-2425-737
INVC-14432,5/22/2019,5,12/22/2022,4/7/2021,Paid,Bi-Weekly,BILL767937544,716-90-8153,CNT-CDP-4465-001
INVC-67099,10/10/2019,4,3/15/2022,9/29/2021,Paid,Annually,BILL141694911,516-04-6814,CNT-CDP-0574-136
INVC-80998,2/25/2019,2,8/10/2022,1/21/2020,Paid,Weekly,BILL223956015,849-76-9195,CNT-CDP-6040-860
INVC-24903,11/22/2019,1,4/21/2022,10/8/2020,Paid,Semi-Annually,BILL180507976,234-75-7522,CNT-CDP-2639-333
INVC-84818,1/15/2021,3,2/13/2022,,Unpaid,Semi-Annually,BILL066550939,107-63-1394,CNT-CDP-6383-302
INVC-48233,7/27/2020,1,8/19/2022,,Unpaid,Bi-Weekly,BILL615332457,549-45-4957,CNT-CDP-2133-221
INVC-86855,7/30/2020,1,2/24/2022,9/7/2020,Paid,Annually,BILL030062704,343-73-0877,CNT-CDP-5684-031
INVC-78866,7/7/2021,2,11/10/2022,,Unpaid,Bi-Weekly,BILL919107806,148-52-8456,CNT-CDP-1054-629
INVC-97880,4/10/2020,3,9/28/2022,,Unpaid,Daily,BILL046971062,532-71-6847,CNT-CDP-6926-210
INVC-31443,5/27/2021,5,7/21/2022,11/17/2021,Paid,Daily,BILL655895919,719-79-7096,CNT-CDP-2211-774
INVC-17829,6/2/2019,3,6/7/2022,,Unpaid,Semi-Annually,BILL722392074,726-04-0836,CNT-CDP-8916-844
INVC-02729,4/28/2019,5,6/15/2022,1/3/2020,Paid,Bi-Weekly,BILL564917676,814-90-5059,CNT-CDP-4970-456
INVC-87198,2/18/2020,5,4/13/2022,8/12/2020,Paid,Quarterly,BILL201533666,182-79-4944,CNT-CDP-7837-415
INVC-41938,1/11/2021,1,1/21/2022,7/3/2021,Paid,Quarterly,BILL088192777,699-90-2611,CNT-CDP-4870-659
INVC-63283,12/6/2020,2,5/25/2022,6/14/2021,Paid,Weekly,BILL575900840,685-06-1770,CNT-CDP-2919-841
INVC-48038,3/6/2021,1,9/8/2022,12/17/2021,Paid,Quarterly,BILL025121237,568-30-1434,CNT-CDP-0133-799
INVC-01009,12/16/2021,2,6/14/2022,12/23/2021,Paid,Daily,BILL602219267,436-44-7581,CNT-CDP-9721-612
INVC-53348,4/16/2021,5,8/9/2022,,Unpaid,Annually,BILL796464271,253-85-8722,CNT-CDP-5381-536
INVC-09626,5/3/2020,4,10/25/2022,,Unpaid,Daily,BILL664350888,508-50-1790,CNT-CDP-4233-970
INVC-76103,7/1/2021,4,4/15/2022,8/19/2021,Paid,Monthly,BILL488507299,748-18-5529,CNT-CDP-0826-776
INVC-84974,5/3/2019,2,11/29/2022,,Unpaid,Annually,BILL357242238,817-61-1069,CNT-CDP-5655-546
INVC-46947,8/9/2020,5,8/13/2022,1/28/2021,Paid,Quarterly,BILL523268939,824-10-6501,CNT-CDP-2640-709
INVC-71956,5/23/2019,5,6/21/2022,,Unpaid,Annually,BILL028765760,384-12-1031,CNT-CDP-5960-330
INVC-38370,11/11/2020,3,9/11/2022,,Unpaid,Daily,BILL430160743,611-81-3453,CNT-CDP-6907-674
INVC-97423,3/17/2019,5,3/7/2022,7/16/2021,Paid,Monthly,BILL219397007,347-63-3246,CNT-CDP-3830-130
INVC-23705,8/23/2021,2,6/27/2022,11/24/2021,Paid,Semi-Annually,BILL229712640,173-33-5474,CNT-CDP-4893-951
INVC-32831,7/30/2021,2,12/10/2022,,Unpaid,Semi-Annually,BILL899029130,116-08-6992,CNT-CDP-0192-106
INVC-82631,7/30/2019,4,11/11/2022,,Unpaid,Daily,BILL509720979,747-57-0629,CNT-CDP-0435-057
INVC-90881,6/26/2020,4,4/30/2022,12/1/2021,Paid,Monthly,BILL960406482,879-28-4768,CNT-CDP-3564-522
INVC-99457,3/27/2019,1,7/9/2022,,Unpaid,Weekly,BILL208557875,343-28-9953,CNT-CDP-4726-769
INVC-24307,7/20/2020,5,10/18/2022,,Unpaid,Daily,BILL634809344,328-54-2580,CNT-CDP-0498-818
INVC-99010,1/29/2021,5,4/10/2022,7/5/2021,Paid,Weekly,BILL270441064,721-80-5534,CNT-CDP-7896-678
INVC-74200,10/10/2020,5,1/31/2022,12/11/2021,Paid,Monthly,BILL514134628,856-82-3134,CNT-CDP-7552-534
INVC-76039,6/26/2019,1,5/30/2022,11/24/2021,Paid,Quarterly,BILL566357022,777-35-9343,CNT-CDP-4697-713
INVC-83582,1/27/2019,5,5/13/2022,10/17/2021,Paid,Monthly,BILL277685701,612-53-1742,CNT-CDP-8624-324
INVC-29498,4/15/2019,1,9/13/2022,1/11/2020,Paid,Weekly,BILL888169209,638-71-5236,CNT-CDP-4908-175
INVC-85698,3/27/2020,4,9/4/2022,,Unpaid,Quarterly,BILL336918989,787-25-1617,CNT-CDP-9250-207
INVC-92156,11/7/2021,2,12/30/2022,12/25/2021,Paid,Semi-Annually,BILL234918487,639-10-5779,CNT-CDP-6376-598
INVC-30407,6/29/2019,5,5/20/2022,,Unpaid,Monthly,BILL549534531,359-09-5059,CNT-CDP-8598-484
INVC-35532,5/2/2019,5,4/18/2022,3/27/2021,Paid,Annually,BILL111256532,334-78-3433,CNT-CDP-0291-814
INVC-01851,12/2/2020,3,8/17/2022,4/7/2021,Paid,Semi-Annually,BILL762549191,705-11-2944,CNT-CDP-7398-586
INVC-77116,12/1/2021,5,8/22/2022,12/12/2021,Paid,Semi-Annually,BILL194816620,457-48-0419,CNT-CDP-0402-822
INVC-10712,10/23/2019,3,5/23/2022,3/30/2020,Paid,Weekly,BILL770179101,683-97-9393,CNT-CDP-0393-666
INVC-49024,8/7/2020,3,10/19/2022,4/17/2021,Paid,Monthly,BILL791375960,276-28-9081,CNT-CDP-5102-868
INVC-55913,5/4/2020,4,1/18/2022,,Unpaid,Bi-Weekly,BILL586884885,367-62-9915,CNT-CDP-6396-007
INVC-79733,5/11/2021,1,9/20/2022,,Unpaid,Weekly,BILL022290304,176-38-9771,CNT-CDP-5916-742
INVC-75567,2/21/2019,3,3/14/2022,,Unpaid,Quarterly,BILL781479050,305-32-7126,CNT-CDP-6364-449
INVC-69269,3/13/2021,1,5/26/2022,,Unpaid,Quarterly,BILL524338926,137-73-4935,CNT-CDP-6785-016
INVC-85686,7/14/2021,5,11/2/2022,,Unpaid,Semi-Annually,BILL339115544,106-91-3893,CNT-CDP-1975-973
INVC-40050,4/23/2021,4,10/9/2022,,Unpaid,Bi-Weekly,BILL142576071,260-91-8767,CNT-CDP-2048-565
INVC-02135,5/2/2021,2,7/14/2022,12/26/2021,Paid,Bi-Weekly,BILL642595350,179-21-3190,CNT-CDP-3954-692
INVC-72865,1/23/2020,4,3/3/2022,,Unpaid,Monthly,BILL497972980,487-76-0882,CNT-CDP-0288-826
INVC-32832,4/1/2019,5,12/26/2022,,Unpaid,Daily,BILL614467466,418-23-4260,CNT-CDP-8710-618
INVC-83392,7/31/2019,1,7/12/2022,9/15/2021,Paid,Bi-Weekly,BILL719707408,647-51-6477,CNT-CDP-3189-138
INVC-16833,10/15/2020,1,1/2/2022,7/27/2021,Paid,Quarterly,BILL612136842,395-52-7205,CNT-CDP-6048-253
INVC-05874,2/16/2020,3,12/26/2022,3/19/2021,Paid,Semi-Annually,BILL599077883,160-40-0524,CNT-CDP-1945-250
INVC-19413,3/4/2020,4,2/17/2022,5/15/2020,Paid,Bi-Weekly,BILL420134196,336-67-7928,CNT-CDP-1835-451
INVC-50435,4/13/2020,5,9/28/2022,7/13/2021,Paid,Bi-Weekly,BILL559051977,110-86-9732,CNT-CDP-6461-353
INVC-29648,1/2/2019,1,8/9/2022,12/3/2019,Paid,Quarterly,BILL207191275,409-69-8234,CNT-CDP-4025-134
INVC-38622,1/21/2020,3,9/9/2022,2/19/2021,Paid,Bi-Weekly,BILL537950430,729-52-4503,CNT-CDP-4868-700
INVC-07175,9/2/2021,1,11/5/2022,,Unpaid,Daily,BILL014927940,391-99-3823,CNT-CDP-2922-987
INVC-59931,8/3/2021,3,11/5/2022,,Unpaid,Semi-Annually,BILL125017962,702-29-5126,CNT-CDP-1708-875
INVC-01499,7/26/2020,1,7/8/2022,5/8/2021,Paid,Semi-Annually,BILL606217734,361-44-1301,CNT-CDP-1435-185
INVC-94863,8/7/2020,3,4/10/2022,12/23/2020,Paid,Monthly,BILL383469187,704-64-5732,CNT-CDP-2610-339
INVC-31449,7/1/2020,3,10/22/2022,7/7/2021,Paid,Weekly,BILL341000446,168-94-1362,CNT-CDP-4112-553
INVC-92360,5/8/2019,2,1/23/2022,2/5/2020,Paid,Quarterly,BILL307228328,339-35-4231,CNT-CDP-0376-223
INVC-35731,11/8/2019,3,4/11/2022,4/20/2021,Paid,Annually,BILL049306725,198-11-6281,CNT-CDP-1528-993
INVC-75204,4/19/2021,2,5/6/2022,6/23/2021,Paid,Quarterly,BILL317292043,585-96-5064,CNT-CDP-1135-832
INVC-23791,9/4/2020,5,1/16/2022,,Unpaid,Quarterly,BILL128857791,885-30-2051,CNT-CDP-3541-609
INVC-37317,6/8/2019,2,6/13/2022,12/1/2019,Paid,Monthly,BILL808314304,723-08-7859,CNT-CDP-5615-634
INVC-72494,6/9/2021,1,3/22/2022,11/28/2021,Paid,Daily,BILL203469019,536-07-9646,CNT-CDP-2923-354
INVC-30735,1/24/2020,4,6/8/2022,9/25/2020,Paid,Monthly,BILL791158180,500-40-8501,CNT-CDP-3374-099
INVC-70012,6/24/2019,5,4/13/2022,2/2/2020,Paid,Monthly,BILL362736945,300-58-6636,CNT-CDP-5068-733
INVC-12728,2/28/2021,5,1/20/2022,3/15/2021,Paid,Semi-Annually,BILL661734252,678-02-9516,CNT-CDP-7959-985
INVC-44494,2/10/2021,3,8/20/2022,4/29/2021,Paid,Semi-Annually,BILL919064430,458-51-0514,CNT-CDP-0206-644
INVC-17622,12/23/2019,3,6/1/2022,4/16/2020,Paid,Semi-Annually,BILL631675463,121-36-8462,CNT-CDP-1642-014
INVC-09515,3/28/2020,3,9/13/2022,4/18/2020,Paid,Bi-Weekly,BILL816668254,314-07-7920,CNT-CDP-7767-366
INVC-76505,5/11/2019,2,12/14/2022,4/23/2021,Paid,Monthly,BILL609576510,423-64-3992,CNT-CDP-4071-313
INVC-17884,11/1/2020,1,4/4/2022,,Unpaid,Daily,BILL454609600,333-10-5075,CNT-CDP-1352-509
INVC-83200,10/13/2021,4,5/29/2022,12/21/2021,Paid,Monthly,BILL636259395,523-80-3435,CNT-CDP-1271-220
INVC-72245,2/10/2021,3,2/11/2022,6/10/2021,Paid,Daily,BILL645696332,780-52-0025,CNT-CDP-5477-402
INVC-69053,5/14/2019,1,10/22/2022,7/2/2021,Paid,Monthly,BILL577668240,546-67-4067,CNT-CDP-7978-668
INVC-86148,6/26/2019,1,5/19/2022,,Unpaid,Annually,BILL210141323,694-45-4388,CNT-CDP-4961-817
INVC-76770,12/16/2019,5,12/9/2022,8/26/2021,Paid,Annually,BILL692244390,420-52-7613,CNT-CDP-8050-366
INVC-78383,10/21/2019,3,5/17/2022,12/31/2019,Paid,Weekly,BILL695393715,549-08-3325,CNT-CDP-6185-150
INVC-13035,5/19/2019,1,10/28/2022,1/9/2021,Paid,Weekly,BILL127992291,856-84-5835,CNT-CDP-6655-090
INVC-24183,9/30/2021,5,5/4/2022,,Unpaid,Monthly,BILL811383624,508-77-1702,CNT-CDP-1642-307
INVC-98238,10/15/2021,1,3/17/2022,11/26/2021,Paid,Annually,BILL596860344,785-92-4718,CNT-CDP-4512-987
